X,dX,Y,dY,Theta,dTheta,Delta X,Delta Y,,Arc #,X-Center,Y-Center,Radius,Delta Theta
in.,,in.,,Degrees,,in.,in.,,,in.,in.,in.,Degrees
43.0180,,95.0210,,184.4410,,-38.3570,-2.9790,-4.4410,1,81.375,98,38.472,1.955
42.9387,-.0793,96.3312,1.3102,182.4860,,-.0793,-1.3102,,2,96.364,140.5,2,
42.9041,-.0346,97.6434,1.3122,180.5310,,-.1139,-1.3122,,3,47.5,170.389,18.5,
42.9144,.0102,98.9560,1.3126,178.5760,,-.1036,-1.3126,,4,,,,
42.9694,.0550,100.2675,1.3115,176.6210,,-.0486,-1.3115,,,,,,
43.0691,.0997,101.5764,1.3089,174.6660,,.0511,-1.3089,,,,,,
43.2134,.1443,102.8811,1.3047,172.7110,,.1954,-1.3047,,,,,,
43.4021,.1887,104.1801,1.2990,170.7560,,.3841,-1.2990,,Line #,X,Y,,
43.6351,.2329,105.4719,1.2918,168.8010,,.6171,-1.2918,,1 Start,77.247,136.25,,
43.9119,.2769,106.7550,1.2831,166.8460,,.8939,-1.2831,,1 End,96.614,138.517,,
44.2324,.3205,108.0279,1.2729,164.8910,,1.2144,-1.2729,,2 Start,96.696,142.473,,
44.5961,.3637,109.2892,1.2612,162.9360,,1.5781,-1.2612,,2 End,43.843,152.254,,
45.0027,.4065,110.5373,1.2481,160.9810,,1.9847,-1.2481,,,,,,
45.4515,.4489,111.7708,1.2335,159.0260,,2.4335,-1.2335,,,,,,
45.9422,.4907,112.9883,1.2175,157.0710,,2.9242,-1.2175,,,,,,
46.4742,.5319,114.1883,1.2000,155.1160,,3.4562,-1.2000,,,,,,
47.0467,.5726,115.3695,1.1812,153.1610,,4.0287,-1.1812,,,,,,
47.6593,.6125,116.5305,1.1610,151.2060,,4.6413,-1.1610,,,,,,
48.3111,.6518,117.6699,1.1394,149.2510,,5.2931,-1.1394,,,,,,
49.0013,.6903,118.7864,1.1165,147.2960,,5.9833,-1.1165,,,,,,
49.7293,.7280,119.8787,1.0923,145.3410,,6.7113,-1.0923,,,,,,
50.4941,.7648,120.9455,1.0668,143.3860,,7.4761,-1.0668,,,,,,
51.2948,.8008,121.9856,1.0401,141.4310,,8.2768,-1.0401,,,,,,
52.1306,.8358,122.9978,1.0122,139.4760,,9.1126,-1.0122,,,,,,
