X,Y
26.6562,170.2500
26.8642,171.5455
27.1512,172.8259
27.5161,174.0863
27.9576,175.3219
28.4739,176.5282
29.0632,177.7006
29.7232,178.8346
30.4515,179.9261
31.2453,180.9709
32.1016,181.9651
33.0173,182.9049
33.9888,183.7869
35.0125,184.6076
36.0846,185.3641
37.2011,186.0535
38.3577,186.6732
39.5500,187.2208
40.7738,187.6944
42.0242,188.0920
43.2966,188.4123
44.5813,188.6801
45.8663,188.9465
47.1513,189.2129
48.4363,189.4793
49.7213,189.7457
51.0063,190.0121
52.2913,190.2785
53.5763,190.5449
54.8613,190.8113
56.1463,191.0777
57.4313,191.3441
58.7091,191.4458
59.6951,192.2759
59.9700,193.5352
59.4195,194.7006
58.2646,195.4828
56.9788,195.7457
55.6937,196.0121
54.4093,196.2819
53.1256,196.5550
51.8427,196.8316
50.5605,197.1116
49.2790,197.3950
47.9983,197.6817
46.7184,197.9719
45.4392,198.2655
44.1608,198.5624
42.8832,198.8628
41.6064,199.1665
40.3304,199.4736
39.0553,199.7841
37.7809,200.0979
36.5075,200.4152
35.2348,200.7358
33.9630,201.0598
32.6921,201.3872
31.4220,201.7179
30.1528,202.0520
28.8845,202.3895
27.6171,202.7303
26.3507,203.0745
25.0851,203.4220
23.8204,203.7729
22.5567,204.1272
21.2996,204.5047
20.0743,204.9715
18.8883,205.5307
17.7485,206.1788
16.6616,206.9122
15.6339,207.7266
14.6715,208.6171
13.7801,209.5786
12.9647,210.6055
12.2303,211.6917
11.5810,212.8309
11.0208,214.0164
10.5528,215.2412
10.1798,216.4983
9.9041,217.7802
9.7272,219.0794
9.6501,220.3883
9.6733,221.6993
9.7967,223.0047
10.0195,224.2968
10.0247,225.6017
9.2616,226.6404
8.0232,226.9978
7.0320,228.0231
5.9729,228.7977
4.9570,229.6282
3.9874,230.5121
43.0116,94.9992
42.9316,96.3090
42.9027,97.6208
42.9121,98.9330
42.9663,100.2441
43.0652,101.5526
43.2086,102.8570
43.3964,104.1558
43.6283,105.4473
43.9042,106.7303
44.2237,108.0030
44.5863,109.2642
44.9918,110.5122
45.4395,111.7457
45.9291,112.9632
46.4599,114.1633
47.0313,115.3446
47.6426,116.5057
48.2932,117.6454
48.9823,118.7621
49.7090,119.8548
50.4726,120.9220
51.2721,121.9626
52.1066,122.9753
52.9751,123.9589
53.8767,124.9124
54.8103,125.8346
55.7748,126.7244
56.7691,127.5808
57.7919,128.4028
58.8423,129.1895
59.9188,129.9399
61.0203,130.6531
62.1454,131.3284
63.2929,131.9649
64.4615,132.5620
65.6498,133.1188
66.8563,133.6348
68.0797,134.1094
69.3186,134.5419
70.5715,134.9320
71.8370,135.2792
73.1136,135.5830
74.3998,135.8430
75.6942,136.0591
76.9951,136.2310
78.2929,136.3820
79.5963,136.5346
80.8997,136.6872
82.2031,136.8398
83.5065,136.9924
84.8099,137.1450
86.1133,137.2976
87.4167,137.4502
88.7201,137.6028
90.0235,137.7554
91.3269,137.9080
92.6303,138.0606
93.9337,138.2132
95.2371,138.3658
96.5405,138.5184
97.7197,139.0381
98.3364,140.1699
98.1345,141.4429
97.1980,142.3284
95.9234,142.6254
94.6330,142.8642
93.3426,143.1030
92.0522,143.3418
90.7618,143.5806
89.4714,143.8194
88.1810,144.0582
86.8906,144.2970
85.6002,144.5358
84.3098,144.7746
83.0194,145.0134
81.7290,145.2522
80.4386,145.4910
79.1482,145.7298
77.8578,145.9686
76.5674,146.2074
75.2770,146.4462
73.9866,146.6850
72.6962,146.9238
71.4058,147.1626
70.1154,147.4014
68.8250,147.6402
67.5346,147.8790
66.2442,148.1178
64.9538,148.3566
63.6634,148.5954
62.3730,148.8342
61.0826,149.0730
59.7922,149.3118
58.5018,149.5506
57.2114,149.7894
55.9210,150.0282
54.6306,150.2670
53.3402,150.5058
52.0498,150.7446
50.7594,150.9834
49.4690,151.2222
48.1786,151.4610
46.8882,151.6998
45.5978,151.9386
44.3074,152.1774
43.0203,152.4290
41.7617,152.8011
40.5296,153.2520
39.3325,153.7890
38.1765,154.4096
37.0674,155.1105
36.0108,155.8883
35.0119,156.7390
34.0759,157.6583
33.2073,158.6417
32.4107,159.6842
31.6899,160.7805
31.0487,161.9252
30.4901,163.1124
30.0172,164.3362
29.6322,165.5905
29.3370,166.8689
29.1332,168.1650
29.0217,169.4723
29.0032,170.7842
